"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/28/2012","13:28:57","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:28:57","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:28:57","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:28:57","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:29:24","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:29:24","","Expected Structures to match but did not. See debug output for a visual display of the differences. Not sure how to compare these datatypes at path [ ""REQUIRE"" ]. File a bug with a patch.  :: Expected [keys unique to struct 1: help] BUT RECEIVED [keys unique to struct 2: removelistener,listeners,emit,once,addlistener,init,structcompare,setmaxlisteners,on,removealllisteners]. These values should be the same. ::"
"ERROR","web-0","09/28/2012","13:29:24","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:29:24","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:30:00","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:30:00","","invalid component definition, can't find fpm.help::"
"ERROR","web-0","09/28/2012","13:30:00","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:30:00","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
"ERROR","web-0","09/28/2012","13:30:18","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:30:32","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:35:50","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:36:00","","variable [HELP] doesn't exist::"
"ERROR","web-0","09/28/2012","13:36:00","","invalid component definition, can't find fpm.help::"
"ERROR","web-0","09/28/2012","13:36:00","","No matching function member [HELP] found, available function members are [append,clear,copy,delete,each,filter,find,findKey,findValue,insert,isEmpty,keyArray,keyExists,keyList,keyTranslate,len,sort,update]::"
