"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","09/28/2012","14:33:16","cfthread-0","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:33:30","cfthread-1","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:33:37","cfthread-2","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:33:53","cfthread-3","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:34:03","cfthread-4","variable [CONSOLE] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:365):365
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:37:04","cfthread-5","variable [CONSOLE] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:365):365
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:37:09","cfthread-6","variable [CONSOLE] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:365):365
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:37:12","cfthread-7","variable [CONSOLE] doesn't exist
	at railo.runtime.type.scope.UndefinedImpl.getCollection(UndefinedImpl.java:365):365
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:24):24
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:37:23","cfthread-8","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:25):25
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
"ERROR","web-0","09/28/2012","14:37:45","cfthread-9","no data
	at railo.runtime.tag.Throw._doStartTag(Throw.java:142):142
	at railo.runtime.tag.Throw.doStartTag(Throw.java:131):131
	at framework.assert_cfc$cf._1(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc:155):155
	at framework.assert_cfc$cf.udfCall(/Users/rountrjf/Sites/mxunit/framework/Assert.cfc):-1
	at railo.runtime.type.UDFImpl.implementation(UDFImpl.java:102):102
	at railo.runtime.type.UDFImpl._call(UDFImpl.java:370):370
	at railo.runtime.type.UDFImpl.call(UDFImpl.java:283):283
	at railo.runtime.type.util.StructSupport.call(StructSupport.java:240):240
	at railo.runtime.util.VariableUtilImpl.callFunctionWithoutNamedValues(VariableUtilImpl.java:723):723
	at railo.runtime.PageContextImpl.getFunction(PageContextImpl.java:1506):1506
	at test.helptests_cfc$cf.threadCall(/Users/rountrjf/Sites/fpm/test/helpTests.cfc:26):26
	at railo.runtime.thread.ChildThreadImpl.execute(ChildThreadImpl.java:180):180
	at railo.runtime.thread.ChildThreadImpl.run(ChildThreadImpl.java:129):129
"
